Years,"Total, voting age",Total voted,Percent voted,White ,White non-Hispanic ,Black,Asian and Pacific Islander,Hispanic,Male,Female,18 to 24 years,25 to 44 years,45 to 64 years,65 years and over,,,,,,,,,,,,,,,
2020,"252,274","154,628",61.3,63.7,69.8,58.7,42.8,38.8,59.5,63,48,55,65.5,71.9,,,,,,,,,,,,,,,
2016,"245,502","137,537",56,58.2,64.1,55.9,33.9,32.5,53.8,58.1,39.4,49,61.7,68.4,,,,,,,,,,,,,,,
2012,"235,248","132,948",56.5,57.6,63,62,31.3,31.8,54.4,58.5,38,49.5,63.4,69.7,,,,,,,,,,,,,,,
2008,"225,499","131,144",58.2,59.6,64.8,60.8,32.1,31.6,55.7,60.4,44.3,51.9,65,68.1,,,,,,,,,,,,,,,
2004,"215,694","125,736",58.3,60.3,65.8,56.3,29.8,28,56.3,60.1,41.9,52.2,66.6,68.9,,,,,,,,,,,,,,,
2000,"202,609","110,826",54.7,56.4,60.4,53.5,25.4,27.5,53.1,56.2,32.3,49.8,64.1,67.6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,